,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
232,12,12.0,0.5454545617103577,1.0,1.0,0.0005014725029468536
233,13,13.0,0.5909090638160706,1.0,1.0,0.00028881803154945374
234,14,14.0,0.6363636255264282,1.0,1.0,0.00016077980399131775
235,15,15.0,0.6818181872367859,1.0,1.0,8.408166468143463e-05
236,16,16.0,0.7272727489471436,1.0,1.0,8.408166468143463e-05
237,17,17.0,0.7727272510528564,1.0,1.0,3.935210406780243e-05
238,18,18.0,0.8181818127632141,1.0,1.0,3.935210406780243e-05
239,19,19.0,0.8636363744735718,1.0,1.0,1.4726072549819946e-05
240,0,0.0,0.0,0.0,0.0,3.177905559539795
241,1,1.0,0.07692307978868484,0.0,0.0,3.177905559539795
242,2,2.0,0.1538461595773697,0.0,0.0,4.157796382904053
243,3,3.0,0.23076923191547394,1.0,1.0,0.2881739139556885
244,4,4.0,0.3076923191547394,1.0,1.0,0.39759019017219543
245,5,5.0,0.38461539149284363,0.0,0.0,1.4574717283248901
246,6,6.0,0.4615384638309479,1.0,1.0,0.003359418362379074
247,7,7.0,0.5384615659713745,1.0,1.0,0.003359418362379074
248,8,8.0,0.6153846383094788,1.0,1.0,0.004311768338084221
249,9,9.0,0.692307710647583,1.0,1.0,0.0011979155242443085
250,10,10.0,0.7692307829856873,1.0,1.0,0.00036898255348205566
251,11,11.0,0.8461538553237915,1.0,1.0,0.00010239705443382263
252,12,12.0,0.9230769276618958,1.0,1.0,1.7389655113220215e-05
253,13,13.0,1.0,1.0,1.0,-2.2351741790771484e-08
254,14,13.0,1.0,1.0,1.0,-2.2351741790771484e-08
255,15,13.0,1.0,1.0,1.0,-2.2351741790771484e-08
256,16,13.0,1.0,1.0,1.0,-2.2351741790771484e-08
257,17,13.0,1.0,1.0,1.0,-2.2351741790771484e-08
258,18,13.0,1.0,1.0,1.0,-2.2351741790771484e-08
259,19,13.0,1.0,1.0,1.0,-2.2351741790771484e-08
260,0,0.0,0.0,0.0,0.0,0.9605354070663452
261,1,1.0,0.07692307978868484,0.0,0.0,0.9605354070663452
262,2,2.0,0.1538461595773697,0.0,0.0,0.9605354070663452
263,3,3.0,0.23076923191547394,0.0,0.0,0.9605354070663452
264,4,4.0,0.3076923191547394,0.0,0.0,0.9605354070663452
265,5,5.0,0.38461539149284363,0.0,0.0,0.9605354070663452
266,6,6.0,0.4615384638309479,0.0,0.0,0.9605354070663452
267,7,7.0,0.5384615659713745,0.0,0.0,0.9605354070663452
268,8,8.0,0.6153846383094788,0.0,0.0,0.9605354070663452
269,9,9.0,0.692307710647583,0.0,0.0,0.9605354070663452
270,10,10.0,0.7692307829856873,1.0,1.0,0.026519013568758965
271,11,11.0,0.8461538553237915,1.0,1.0,0.026519013568758965
272,12,12.0,0.9230769276618958,1.0,1.0,2.8619542717933655e-05
273,13,13.0,1.0,1.0,1.0,-3.166496753692627e-08
274,14,13.0,1.0,1.0,1.0,-3.166496753692627e-08
275,15,13.0,1.0,1.0,1.0,-3.166496753692627e-08
276,16,13.0,1.0,1.0,1.0,-3.166496753692627e-08
277,17,13.0,1.0,1.0,1.0,-3.166496753692627e-08
278,18,13.0,1.0,1.0,1.0,-3.166496753692627e-08
279,19,13.0,1.0,1.0,1.0,-3.166496753692627e-08
280,0,0.0,0.0,0.0,0.0,0.9449880123138428
281,1,1.0,0.05882352963089943,0.0,0.0,2.085949182510376
282,2,2.0,0.11764705926179886,0.0,0.0,2.085949182510376
283,3,3.0,0.1764705926179886,1.0,1.0,0.02321135252714157
284,4,4.0,0.23529411852359772,0.0,0.0,0.5620803236961365
285,5,5.0,0.29411765933036804,0.0,0.0,1.4940975904464722
286,6,6.0,0.3529411852359772,1.0,1.0,0.002180023118853569
287,7,7.0,0.4117647111415863,1.0,1.0,0.002180023118853569
288,8,8.0,0.47058823704719543,1.0,1.0,0.002180023118853569
289,9,9.0,0.529411792755127,1.0,1.0,0.0010008607059717178
290,10,10.0,0.5882353186607361,1.0,1.0,0.000525597482919693
291,11,11.0,0.6470588445663452,1.0,1.0,0.0002583339810371399
292,12,12.0,0.7058823704719543,1.0,1.0,0.0001142602413892746
293,13,13.0,0.7647058963775635,1.0,1.0,4.075281322002411e-05
294,14,14.0,0.8235294222831726,1.0,1.0,8.273869752883911e-06
295,15,15.0,0.8823529481887817,1.0,1.0,8.273869752883911e-06
296,16,16.0,0.9411764740943909,1.0,1.0,-1.4901161193847656e-08
297,17,17.0,1.0,1.0,1.0,-1.4901161193847656e-08
298,18,17.0,1.0,1.0,1.0,-1.4901161193847656e-08
299,19,17.0,1.0,1.0,1.0,-1.4901161193847656e-08
300,0,0.0,0.0,0.0,0.0,3.177905559539795
301,1,1.0,0.06666667014360428,0.0,0.0,2.6248183250427246
302,2,2.0,0.13333334028720856,1.0,1.0,0.1863439977169037
303,3,3.0,0.20000000298023224,1.0,1.0,0.1863439977169037
304,4,4.0,0.2666666805744171,1.0,1.0,0.2881739139556885
305,5,5.0,0.3333333432674408,1.0,1.0,0.2881739139556885
306,6,6.0,0.4000000059604645,0.0,0.0,2.4736502170562744
307,7,7.0,0.46666666865348816,1.0,1.0,0.019327376037836075
308,8,8.0,0.5333333611488342,1.0,1.0,0.019327376037836075
309,9,9.0,0.6000000238418579,1.0,1.0,0.019327376037836075
