,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
378,18,9.0,1.0,1.0,1.0,0.0
379,19,9.0,1.0,1.0,1.0,0.0
380,0,0.0,0.0,0.0,0.0,4.2311601638793945
381,1,1.0,0.1111111119389534,0.0,0.0,4.39548921585083
382,2,2.0,0.2222222238779068,0.0,0.0,3.815354347229004
383,3,3.0,0.3333333432674408,0.0,0.0,3.3726308345794678
384,4,4.0,0.4444444477558136,0.0,0.0,2.1718292236328125
385,5,5.0,0.5555555820465088,0.0,0.0,2.13421368598938
386,6,6.0,0.6666666865348816,0.0,0.0,2.14422869682312
387,7,7.0,0.7777777910232544,1.0,1.0,0.0009065279737114906
388,8,8.0,0.8888888955116272,1.0,1.0,1.471489667892456e-07
389,9,9.0,1.0,1.0,1.0,2.6542693376541138e-08
390,10,9.0,1.0,1.0,1.0,2.6542693376541138e-08
391,11,9.0,1.0,1.0,1.0,2.6542693376541138e-08
392,12,9.0,1.0,1.0,1.0,2.6542693376541138e-08
393,13,9.0,1.0,1.0,1.0,2.6542693376541138e-08
394,14,9.0,1.0,1.0,1.0,2.6542693376541138e-08
395,15,9.0,1.0,1.0,1.0,2.6542693376541138e-08
396,16,9.0,1.0,1.0,1.0,2.6542693376541138e-08
397,17,9.0,1.0,1.0,1.0,2.6542693376541138e-08
398,18,9.0,1.0,1.0,1.0,2.6542693376541138e-08
399,19,9.0,1.0,1.0,1.0,2.6542693376541138e-08
400,0,0.0,0.0,0.0,0.0,4.230648994445801
401,1,1.0,0.125,0.0,0.0,4.394968509674072
402,2,2.0,0.25,0.0,0.0,4.270780563354492
403,3,3.0,0.375,0.0,0.0,3.372168779373169
404,4,4.0,0.5,0.0,0.0,2.171438455581665
405,5,5.0,0.625,0.0,0.0,2.1338250637054443
406,6,6.0,0.75,1.0,1.0,0.1681196093559265
407,7,7.0,0.875,1.0,1.0,0.0008804984390735626
408,8,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
409,9,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
410,10,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
